open_time,open,high,low,close,volume
2020-10-26 00:00:00+00:00,405.78,411.15,382.62,393.39,1770.98367
2020-10-27 00:00:00+00:00,392.46,409.91,390.59,403.3,1432.91187
2020-10-28 00:00:00+00:00,403.04,408.98,380.85,388.68,1824.47781
2020-10-29 00:00:00+00:00,388.0,393.48,380.62,386.81,629.31635
2020-10-30 00:00:00+00:00,387.42,391.65,373.6,383.32,1543.29431
2020-10-31 00:00:00+00:00,382.43,393.84,380.47,386.8,2025.8177
2020-11-01 00:00:00+00:00,385.07,397.45,385.0,396.09,1387.71897
2020-11-02 00:00:00+00:00,396.85,404.04,377.97,383.01,4062.81574
2020-11-03 00:00:00+00:00,382.86,390.1,370.4,387.9,1991.65008
2020-11-04 00:00:00+00:00,387.94,408.39,376.96,402.07,3841.35488
2020-11-05 00:00:00+00:00,402.54,420.38,397.05,416.2,3836.9351
2020-11-06 00:00:00+00:00,417.12,457.79,414.95,455.89,3440.99544
2020-11-07 00:00:00+00:00,455.33,468.09,425.42,435.13,2279.09747
2020-11-08 00:00:00+00:00,434.84,459.17,432.24,454.8,807.50287
2020-11-09 00:00:00+00:00,454.48,458.92,433.73,445.33,1483.95299
2020-11-10 00:00:00+00:00,444.54,454.81,439.14,450.18,809.92712
2020-11-11 00:00:00+00:00,450.83,475.71,450.21,463.44,1314.46958
2020-11-12 00:00:00+00:00,463.24,469.66,452.22,462.22,1177.91799
2020-11-13 00:00:00+00:00,462.81,477.83,457.18,476.92,1321.20974
2020-11-14 00:00:00+00:00,476.93,476.93,452.73,462.0,613.61147
2020-11-15 00:00:00+00:00,460.57,462.68,27.0,448.15,3205.95039
2020-11-16 00:00:00+00:00,447.5,465.72,445.93,461.09,1447.64534
2020-11-17 00:00:00+00:00,461.74,484.72,461.74,482.23,1771.11724
2020-11-18 00:00:00+00:00,483.64,497.26,458.01,478.91,3710.66599
2020-11-19 00:00:00+00:00,478.63,480.5,465.22,470.99,865.91071
2020-11-20 00:00:00+00:00,471.19,513.88,470.81,510.0,2325.41459
2020-11-21 00:00:00+00:00,510.37,553.07,503.26,552.21,2971.51747
